,type,value,date
693,TMAX,260,1975-11-1
694,TMIN,150,1975-11-1
695,PRCP,0,1975-11-1
696,TMAX,220,1975-12-1
697,TMIN,130,1975-12-1
698,PRCP,0,1975-12-1
699,TMAX,240,1976-01-1
700,TMIN,115,1976-01-1
701,PRCP,0,1976-01-1
702,TMAX,230,1976-02-1
703,TMIN,130,1976-02-1
704,PRCP,10,1976-02-1
705,TMAX,260,1976-03-1
706,TMIN,120,1976-03-1
707,PRCP,0,1976-03-1
708,TMAX,290,1976-04-1
709,TMIN,140,1976-04-1
710,PRCP,25,1976-04-1
711,TMAX,295,1976-05-1
712,TMIN,160,1976-05-1
713,PRCP,0,1976-05-1
714,TMAX,280,1976-06-1
715,TMIN,160,1976-06-1
716,PRCP,0,1976-06-1
717,TMAX,240,1976-07-1
718,TMIN,160,1976-07-1
719,PRCP,320,1976-07-1
720,TMAX,265,1976-08-1
721,TMIN,170,1976-08-1
722,PRCP,0,1976-08-1
723,TMAX,260,1976-09-1
724,TMIN,170,1976-09-1
725,PRCP,0,1976-09-1
726,TMAX,230,1976-10-1
727,TMIN,150,1976-10-1
728,PRCP,400,1976-10-1
729,TMAX,230,1976-11-1
730,TMIN,140,1976-11-1
731,PRCP,175,1976-11-1
732,TMAX,230,1976-12-1
733,TMIN,150,1976-12-1
734,PRCP,0,1976-12-1
735,TMAX,250,1977-01-1
736,TMIN,130,1977-01-1
737,PRCP,0,1977-01-1
738,TMAX,250,1977-02-1
739,TMIN,130,1977-02-1
740,PRCP,0,1977-02-1
741,TMAX,260,1977-03-1
742,TMIN,130,1977-03-1
743,PRCP,0,1977-03-1
744,TMAX,320,1977-04-1
745,TMIN,160,1977-04-1
746,PRCP,0,1977-04-1
747,TMAX,280,1977-05-1
748,TMIN,160,1977-05-1
749,PRCP,0,1977-05-1
750,TMAX,270,1977-06-1
751,TMIN,150,1977-06-1
752,PRCP,0,1977-06-1
753,TMAX,260,1977-07-1
754,TMIN,160,1977-07-1
755,PRCP,180,1977-07-1
756,TMAX,280,1977-08-1
757,TMIN,150,1977-08-1
758,PRCP,0,1977-08-1
759,TMAX,250,1977-09-1
760,TMIN,160,1977-09-1
761,PRCP,25,1977-09-1
762,TMAX,260,1977-10-1
763,TMIN,145,1977-10-1
764,PRCP,115,1977-10-1
765,TMAX,285,1977-11-1
766,TMIN,165,1977-11-1
767,PRCP,15,1977-11-1
768,TMAX,210,1977-12-1
769,TMIN,140,1977-12-1
770,PRCP,0,1977-12-1
771,TMAX,275,1978-01-1
772,TMIN,140,1978-01-1
773,PRCP,0,1978-01-1
774,TMAX,285,1978-02-1
775,TMIN,145,1978-02-1
776,PRCP,0,1978-02-1
777,TMAX,305,1978-03-1
778,TMIN,150,1978-03-1
779,PRCP,0,1978-03-1
780,TMAX,295,1978-04-1
781,TMIN,160,1978-04-1
